Processing Status,Material,Material Description,Plant,Storage Location,Movement type,Qty in unit of entry,Unit of Entry,Order,Message Number,Created On,Error date,WBS Element,Error Text
,1160085K-P13135,PL 3 x 30 x 3'-3 1/2,HS01,PROD,261,1,EA,1000669981,076,3/13/2019,3/13/2019,S-1160085-2-04-3-01,Special stock PROD Q S-1160085-2-04-3-01 1160085K-P13135 of this material does not exist
,1160245C-Z1K,PL 1 3/4 x 15 x 2'-3,HS01,PROD,261,1,EA,1000644687,021,3/14/2019,3/14/2019,D-1160245-12872,Deficit of Project stock unr. 1 EA : 1160245C-Z1K HS01 PROD Q
,1160245C-Z1K,PL 1 3/4 x 15 x 2'-3,HS01,PROD,261,1,EA,1000644687,021,3/14/2019,3/14/2019,D-1160245-12872,Deficit of Project stock unr. 1 EA : 1160245C-Z1K HS01 PROD Q
,1160253C-FBG7RB-B1,PL 2 1/2 x 60 x 43'-6 3/4,HS02,PROD,261,1,EA,1000641792,076,1/31/2019,3/6/2019,D-1160253-15026,Special stock PROD Q D-1160253-15026 1160253C-FBG7RB-B1 of this material does not exist
,1160253C-FBG7RB-T1,PL 2 1/2 x 60 x 43'-0 7/8,HS02,PROD,261,1,EA,1000641792,076,1/31/2019,3/6/2019,D-1160253-15026,Special stock PROD Q D-1160253-15026 1160253C-FBG7RB-T1 of this material does not exist
,1160253C-FBG7RBWF1,PL 1 3/4 x 113 x 43'-7 1/16,HS02,PROD,261,1,EA,1000641792,076,1/31/2019,3/6/2019,D-1160253-15026,Special stock PROD Q D-1160253-15026 1160253C-FBG7RBWF1 of this material does not exist
,1170066F-FB49-B2,PL 2 x 17 1/2 x 59'-9 7/16,HS02,PROD,261,1,EA,1000597875,076,3/2/2018,3/6/2019,S-1170066-2-03-3-01,Special stock PROD Q S-1170066-2-03-3-01 1170066F-FB49-B2 of this material does not exist
,1170066F-FB69-W2,PL 7/8 x 111 3/8 x 28'-4 15/16,HS02,PROD,261,1,EA,1000606840,076,11/1/2018,3/6/2019,S-1170066-2-04-3-01,Special stock PROD Q S-1170066-2-04-3-01 1170066F-FB69-W2 of this material does not exist
,1170066F-FB70-W2,PL 7/8 x 111 1/2 x 28'-5 1/16,HS02,PROD,261,1,EA,1000606841,076,11/13/2018,3/6/2019,S-1170066-2-04-3-01,Special stock PROD Q S-1170066-2-04-3-01 1170066F-FB70-W2 of this material does not exist
,1170066F-FB71-W2,PL 7/8 x 111 5/8 x 28'-5 3/16,HS02,PROD,261,1,EA,1000606842,076,4/6/2018,3/6/2019,S-1170066-2-04-3-01,Special stock PROD Q S-1170066-2-04-3-01 1170066F-FB71-W2 of this material does not exist
