Base Unit of Measure,Unrestricted,Storage Location,Material Number,Material Description,Plant,Special Stock,Special stock number
EA,1,PROD,1140203A-X201D,PL 22.2 x 508 x 926,HS02,Q,S-1140203-2-02-3-01
EA,2,PROD,1140203A-X201H,PL 28.6 x 226 x 926,HS02,Q,S-1140203-2-02-3-01
EA,2,PROD,1140203B-X518C,PL 20.6 x 220 x 1775,HS01,Q,S-1140203-2-07-3-01
EA,11,PROD,1140203B-X563P,PL 9.5 x 360 x 377,HS01,Q,S-1140203-2-07-3-01
EA,5,PROD,1140203B-X567C,PL 9.5 x 360 x 377,HS01,Q,S-1140203-2-07-3-01
EA,2,PROD,1140203B-X567N,PL 9.5 x 360 x 377,HS01,Q,S-1140203-2-07-3-01
EA,1,PROD,1140203B-X601C,PL 20.6 x 226 x 926,HS01,Q,S-1140203-2-08-3-01
EA,18,PROD,1150031F-MP1-A,PL 1 x 12 x 1'-11,HS01,Q,S-1150031-2-03-3-08
EA,9,PROD,1150031F-MP2-A,PL 2 1/4 x 13 x 2'-2,HS01,Q,S-1150031-2-03-3-08
EA,9,PROD,1150031F-XSP1-B,PL 2 3/16 x 10 1/2 x 1'-11,HS01,Q,S-1150031-2-03-3-01
EA,4,PROD,1150031F-XSP2-B,PL 2 1/8 x 10 1/2 x 1'-11,HS01,Q,S-1150031-2-03-3-01
EA,5,PROD,1150031F-XSP3-B,PL 2 1/16 x 10 1/2 x 1'-11,HS01,Q,S-1150031-2-03-3-01
EA,9,PROD,1150031F-XSP4-B,PL 2 5/8 x 13 x 2'-2,HS01,Q,S-1150031-2-03-3-01
EA,7,PROD,1150132B-X108F,PL 1/2 x 7 1/2 x 9'-6,HS01,Q,S-1150132-2-01-3-01
EA,15,PROD,1150132B-X112C,PL 3/8 x 4 x 0'-5,HS01,Q,S-1150132-2-02-3-01
EA,32,PROD,1150132B-X112G,PL 1/2 x 7 x 0'-5,HS02,Q,S-1150132-2-01-3-01
EA,4,PROD,1150132B-X116N,PL 1 1/2 x 7 x 1'-5 1/2,HS01,Q,S-1150132-2-02-3-01
EA,19,PROD,1150132C-M307A,PL 1 x 41 13/16 x 1'-11 9/16,HS01,Q,S-1150132-2-03-3-11
EA,11,PROD,1150132C-M307A,PL 1 x 41 13/16 x 1'-11 9/16,HS01,Q,S-1150132-2-04-3-11
EA,19,PROD,1150132C-M307B,PL 1 x 41 13/16 x 1'-11 9/16,HS01,Q,S-1150132-2-03-3-11
EA,11,PROD,1150132C-M307B,PL 1 x 41 13/16 x 1'-11 9/16,HS01,Q,S-1150132-2-04-3-11
EA,1,PROD,1150132C-M307G,PL 1 x 36 13/16 x 1'-11 15/16,HS01,Q,S-1150132-2-03-3-11
EA,1,PROD,1150132C-M307G,PL 1 x 36 13/16 x 1'-11 15/16,HS01,Q,S-1150132-2-04-3-11
EA,1,PROD,1150132C-M307H,PL 1 x 36 13/16 x 1'-11 15/16,HS01,Q,S-1150132-2-03-3-11
EA,1,PROD,1150132C-M307H,PL 1 x 36 13/16 x 1'-11 15/16,HS01,Q,S-1150132-2-04-3-11
EA,39,PROD,1150132C-M307P,PL 1 1/2 x 7 x 1'-5,HS01,Q,S-1150132-2-03-3-11
EA,23,PROD,1150132C-M307P,PL 1 1/2 x 7 x 1'-5,HS01,Q,S-1150132-2-04-3-11
EA,1,PROD,1150132C-M307W,PL 1 1/2 x 7 x 1'-5,HS01,Q,S-1150132-2-03-3-11
EA,1,PROD,1150132C-M307W,PL 1 1/2 x 7 x 1'-5,HS01,Q,S-1150132-2-04-3-11
EA,2,PROD,1150132C-X301C,PL 9/16 x 22 1/4 x 8'-9 1/2,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X302H,PL 5/8 x 20 x 3'-7 1/4,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X302K,PL 9/16 x 20 x 2'-5 1/4,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X303P,PL 3/4 x 9 x 3'-7 1/4,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X304A,PL 5/8 x 9 x 2'-5 1/4,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X306A,PL 1 1/2 x 13 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X306C,PL 1 1/2 x 13 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,4,PROD,1150132C-X307F,PL 1 1/2 x 13 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X308B,PL 1/2 x 7 1/2 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X308D,PL 5/8 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X308F,PL 5/8 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X309A,PL 5/8 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X309C,PL 1 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X309D,PL 1 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X310A,PL 5/8 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,1,PROD,1150132C-X310C,PL 1/2 x 7 x 0'-6,HS01,Q,S-1150132-2-04-3-01
EA,6,PROD,1150132C-X311F,PL 5/8 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,2,PROD,1150132C-X312A,PL 1 x 9 x 9'-6,HS01,Q,S-1150132-2-04-3-01
EA,12,PROD,1150132C-X312B,PL 3/8 x 4 x 0'-5,HS01,Q,S-1150132-2-04-3-01
